time,cell_count
1.00000e+00,5.51832e+04
2.00000e+00,1.68917e+05
3.00000e+00,2.04895e+05
4.00000e+00,9.68100e+05
5.00000e+00,3.72239e+06
6.00000e+00,4.36188e+06
7.00000e+00,1.68856e+07
8.00000e+00,7.93334e+07
9.00000e+00,9.60310e+07
1.00000e+01,2.96127e+08
1.10000e+01,1.62752e+09
1.20000e+01,2.17056e+09
1.30000e+01,5.27836e+09
1.40000e+01,3.20846e+10
1.50000e+01,4.98964e+10
1.60000e+01,9.65405e+10
1.70000e+01,6.08721e+11
1.80000e+01,1.15408e+12
1.90000e+01,1.82537e+12
2.00000e+01,1.11650e+13
2.10000e+01,2.65575e+13
2.20000e+01,3.58519e+13
2.30000e+01,1.99419e+14
2.40000e+01,6.01479e+14
2.50000e+01,7.32773e+14
2.60000e+01,3.50104e+15
2.70000e+01,1.32795e+16
2.80000e+01,1.55639e+16
2.90000e+01,6.10671e+16
3.00000e+01,2.83658e+17
3.10000e+01,3.42000e+17
3.20000e+01,1.07024e+18
3.30000e+01,5.83359e+18
3.40000e+01,7.71940e+18
3.50000e+01,1.90516e+19
3.60000e+01,1.15288e+20
3.70000e+01,1.77319e+20
3.80000e+01,3.47805e+20
3.90000e+01,2.19231e+21
4.00000e+01,4.10107e+21
4.10000e+01,6.56147e+21
4.20000e+01,4.02885e+22
4.30000e+01,9.44341e+22
4.40000e+01,1.28556e+23
4.50000e+01,7.20604e+23
4.60000e+01,2.14153e+24
4.70000e+01,2.62103e+24
4.80000e+01,1.26608e+25
4.90000e+01,4.73678e+25
5.00000e+01,5.55420e+25
5.10000e+01,2.20855e+26
5.20000e+01,1.01408e+27
5.30000e+01,1.21811e+27
5.40000e+01,3.86820e+27
5.50000e+01,2.09064e+28
5.60000e+01,2.74553e+28
5.70000e+01,6.87710e+28
5.80000e+01,4.14196e+29
5.90000e+01,6.30163e+29
6.00000e+01,1.25320e+30
6.10000e+01,7.89454e+30
6.20000e+01,1.45731e+31
6.30000e+01,2.35894e+31
6.40000e+01,1.45363e+32
6.50000e+01,3.35772e+32
6.60000e+01,4.61044e+32
6.70000e+01,2.60373e+33
6.80000e+01,7.62404e+33
6.90000e+01,9.37651e+33
7.00000e+01,4.57842e+34
7.10000e+01,1.68939e+35
7.20000e+01,1.98236e+35
7.30000e+01,7.98754e+35
7.40000e+01,3.62477e+36
7.50000e+01,4.33903e+36
7.60000e+01,1.39818e+37
7.70000e+01,7.49123e+37
7.80000e+01,9.76560e+37
7.90000e+01,2.48269e+38
8.00000e+01,1.48786e+39
8.10000e+01,2.23956e+39
8.20000e+01,4.51603e+39
8.30000e+01,2.84245e+40
8.40000e+01,5.17844e+40
8.50000e+01,8.48194e+40
8.60000e+01,5.24422e+41
8.70000e+01,1.19381e+42
8.80000e+01,1.65371e+42
8.90000e+01,9.40730e+42
9.00000e+01,2.71397e+43
9.10000e+01,3.35488e+43
9.20000e+01,1.65560e+44
9.30000e+01,6.02450e+44
9.40000e+01,7.07626e+44
9.50000e+01,2.88885e+45
9.60000e+01,1.29547e+46
9.70000e+01,1.54578e+46
9.80000e+01,5.05407e+46
9.90000e+01,2.68386e+47
1.00000e+02,3.47379e+47
1.01000e+02,8.96357e+47
1.02000e+02,5.34380e+48
1.03000e+02,7.95954e+48
1.04000e+02,1.62761e+49
1.05000e+02,1.02329e+50
1.06000e+02,1.84010e+50
1.07000e+02,3.05027e+50
1.08000e+02,1.89173e+51
1.09000e+02,4.24427e+51
1.10000e+02,5.93257e+51
1.11000e+02,3.39860e+52
1.12000e+02,9.66014e+52
1.13000e+02,1.20054e+53
1.14000e+02,5.98661e+53
1.15000e+02,2.14812e+54
1.16000e+02,2.52630e+54
1.17000e+02,1.04482e+55
1.18000e+02,4.62923e+55
1.19000e+02,5.50745e+55
1.20000e+02,1.82702e+56
1.21000e+02,9.61387e+56
1.22000e+02,1.23578e+57
1.23000e+02,3.23653e+57
1.24000e+02,1.91899e+58
1.25000e+02,2.82896e+58
1.26000e+02,5.86674e+58
1.27000e+02,3.68337e+59
1.28000e+02,6.53855e+59
1.29000e+02,1.09710e+60
1.30000e+02,6.82322e+60
1.31000e+02,1.50885e+61
1.32000e+02,2.12861e+61
1.33000e+02,1.22773e+62
1.34000e+02,3.43813e+62
1.35000e+02,4.29681e+62
1.36000e+02,2.16466e+63
1.37000e+02,7.65848e+63
1.38000e+02,9.02039e+63
1.39000e+02,3.77886e+64
1.40000e+02,1.65397e+65
1.41000e+02,1.96247e+65
1.42000e+02,6.60490e+65
1.43000e+02,3.44326e+66
1.44000e+02,4.39658e+66
1.45000e+02,1.16874e+67
1.46000e+02,6.89013e+67
1.47000e+02,1.00550e+68
1.48000e+02,2.11493e+68
1.49000e+02,1.32566e+69
1.50000e+02,2.32337e+69
1.51000e+02,3.94652e+69
1.52000e+02,2.46076e+70
1.53000e+02,5.36376e+70
1.54000e+02,7.63863e+70
1.55000e+02,4.43476e+71
1.56000e+02,1.22355e+72
1.57000e+02,1.53809e+72
1.58000e+02,7.82677e+72
1.59000e+02,2.73007e+73
1.60000e+02,3.22127e+73
1.61000e+02,1.36673e+74
1.62000e+02,5.90860e+74
1.63000e+02,6.99366e+74
1.64000e+02,2.38787e+75
1.65000e+02,1.23303e+76
1.66000e+02,1.56431e+76
1.67000e+02,4.22079e+76
1.68000e+02,2.47352e+77
1.69000e+02,3.57402e+77
1.70000e+02,7.62517e+77
1.71000e+02,4.77041e+78
1.72000e+02,8.25568e+78
1.73000e+02,1.41986e+79
1.74000e+02,8.87359e+79
1.75000e+02,1.90665e+80
1.76000e+02,2.74159e+80
1.77000e+02,1.60177e+81
1.78000e+02,4.35396e+81
1.79000e+02,5.50661e+81
1.80000e+02,2.82981e+82
1.81000e+02,9.73088e+82
1.82000e+02,1.15051e+83
1.83000e+02,4.94316e+83
1.84000e+02,2.11047e+84
1.85000e+02,2.49263e+84
1.86000e+02,8.63329e+84
1.87000e+02,4.41478e+85
1.88000e+02,5.56630e+85
1.89000e+02,1.52443e+86
1.90000e+02,8.87844e+86
1.91000e+02,1.27043e+87
1.92000e+02,2.74950e+87
1.93000e+02,1.71640e+88
1.94000e+02,2.93351e+88
1.95000e+02,5.10905e+88
1.96000e+02,3.19947e+89
1.97000e+02,6.77727e+89
1.98000e+02,9.84142e+89
1.99000e+02,5.78490e+90
2.00000e+02,1.54921e+91
2.01000e+02,1.97176e+91
2.02000e+02,1.02308e+92
2.03000e+02,3.46800e+92
2.04000e+02,4.10976e+92
2.05000e+02,1.78783e+93
2.06000e+02,7.53722e+93
2.07000e+02,8.88511e+93
2.08000e+02,3.12147e+94
2.09000e+02,1.58044e+95
2.10000e+02,1.98083e+95
2.11000e+02,5.50625e+95
2.12000e+02,3.18633e+96
2.13000e+02,4.51609e+96
2.14000e+02,9.91536e+96
2.15000e+02,6.17475e+97
2.16000e+02,1.04237e+98
2.17000e+02,1.83863e+98
2.18000e+02,1.15346e+99
2.19000e+02,2.40890e+99
2.20000e+02,3.53329e+99
2.21000e+02,2.08907e+100
2.22000e+02,5.51188e+100
2.23000e+02,7.06142e+100
2.24000e+02,3.69867e+101
2.25000e+02,1.23582e+102
2.26000e+02,1.46826e+102
2.27000e+02,6.46619e+102
2.28000e+02,2.69143e+103
2.29000e+02,3.16753e+103
2.30000e+02,1.12865e+104
2.31000e+02,5.65691e+104
2.32000e+02,7.04965e+104
2.33000e+02,1.98903e+105
2.34000e+02,1.14334e+106
2.35000e+02,1.60545e+106
2.36000e+02,3.57613e+106
2.37000e+02,2.22104e+107
2.38000e+02,3.70391e+107
2.39000e+02,6.61777e+107
2.40000e+02,4.15793e+108
2.41000e+02,8.56184e+108
2.42000e+02,1.26873e+109
2.43000e+02,7.54347e+109
2.44000e+02,1.96090e+110
2.45000e+02,2.52928e+110
2.46000e+02,1.33709e+111
2.47000e+02,4.40335e+111
2.48000e+02,5.24633e+111
2.49000e+02,2.33866e+112
2.50000e+02,9.60933e+112
2.51000e+02,1.12936e+113
2.52000e+02,4.08111e+113
2.53000e+02,2.02448e+114
2.54000e+02,2.50915e+114
2.55000e+02,7.18555e+114
2.56000e+02,4.10199e+115
2.57000e+02,5.70757e+115
2.58000e+02,1.28994e+116
2.59000e+02,7.98788e+116
2.60000e+02,1.31614e+117
2.61000e+02,2.38225e+117
2.62000e+02,1.49864e+118
2.63000e+02,3.04298e+118
2.64000e+02,4.55643e+118
2.65000e+02,2.72364e+119
2.66000e+02,6.97552e+119
2.67000e+02,9.06087e+119
2.68000e+02,4.83336e+120
2.69000e+02,1.56878e+121
2.70000e+02,1.87486e+121
2.71000e+02,8.45825e+121
2.72000e+02,3.43039e+122
2.73000e+02,4.02713e+122
2.74000e+02,1.47574e+123
2.75000e+02,7.24406e+123
2.76000e+02,8.93151e+123
2.77000e+02,2.59605e+124
2.78000e+02,1.47145e+125
2.79000e+02,2.02922e+125
2.80000e+02,4.65341e+125
2.81000e+02,2.87238e+126
2.82000e+02,4.67678e+126
2.83000e+02,8.57679e+126
2.84000e+02,5.40085e+127
2.85000e+02,1.08147e+128
2.86000e+02,1.63662e+128
2.87000e+02,9.83302e+128
2.88000e+02,2.48122e+129
2.89000e+02,3.24647e+129
2.90000e+02,1.74709e+130
2.91000e+02,5.58846e+130
2.92000e+02,6.70113e+130
2.93000e+02,3.05907e+131
2.94000e+02,1.22443e+132
2.95000e+02,1.43620e+132
2.96000e+02,5.33652e+132
2.97000e+02,2.59169e+133
2.98000e+02,3.17955e+133
2.99000e+02,9.37986e+133
3.00000e+02,5.27749e+134
3.01000e+02,7.21495e+134
3.02000e+02,1.67889e+135
3.03000e+02,1.03274e+136
3.04000e+02,1.66187e+136
3.05000e+02,3.08831e+136
3.06000e+02,1.94613e+137
3.07000e+02,3.84344e+137
3.08000e+02,5.87943e+137
3.09000e+02,3.54963e+138
3.10000e+02,8.82517e+138
3.11000e+02,1.16337e+139
3.12000e+02,6.31476e+139
3.13000e+02,1.99056e+140
3.14000e+02,2.39547e+140
3.15000e+02,1.10635e+141
3.16000e+02,4.36985e+141
3.17000e+02,5.12259e+141
3.18000e+02,1.92982e+142
3.19000e+02,9.27085e+142
3.20000e+02,1.13200e+143
3.21000e+02,3.38931e+143
3.22000e+02,1.89252e+144
3.23000e+02,2.56544e+144
3.24000e+02,6.05785e+144
3.25000e+02,3.71254e+145
3.26000e+02,5.90549e+145
3.27000e+02,1.11218e+146
3.28000e+02,7.01176e+146
3.29000e+02,1.36588e+147
3.30000e+02,2.11247e+147
3.31000e+02,1.28126e+148
3.32000e+02,3.13870e+148
3.33000e+02,4.16962e+148
3.34000e+02,2.28230e+149
3.35000e+02,7.08945e+149
3.36000e+02,8.56441e+149
3.37000e+02,4.00118e+150
3.38000e+02,1.55934e+151
3.39000e+02,1.82734e+151
3.40000e+02,6.97893e+151
3.41000e+02,3.31581e+152
3.42000e+02,4.03063e+152
3.43000e+02,1.22478e+153
3.44000e+02,6.78559e+153
3.45000e+02,9.12258e+153
3.46000e+02,2.18606e+154
3.47000e+02,1.33441e+155
3.48000e+02,2.09856e+155
3.49000e+02,4.00579e+155
3.50000e+02,2.52595e+156
3.51000e+02,4.85392e+156
3.52000e+02,7.59120e+156
3.53000e+02,4.62430e+157
3.54000e+02,1.11621e+158
3.55000e+02,1.49466e+158
3.56000e+02,8.24821e+158
3.57000e+02,2.52467e+159
3.58000e+02,3.06246e+159
3.59000e+02,1.44702e+160
3.60000e+02,5.56360e+160
3.61000e+02,6.51940e+160
3.62000e+02,2.52389e+161
3.63000e+02,1.18575e+162
3.64000e+02,1.43530e+162
3.65000e+02,4.42620e+162
